text,label
hier ist unser neuer Held der die Kanzlerin zur Rede stellte,0
"Einzigste Möglichkeit vorerst , die aktuelle Regierung zu treffen, sind die Landtagswahlen am 13 März.",0
Ist denn bis jetzt geklärt was da los war? Laut Fernsehen wollte er sich gar nicht retten lassen,0
Wenn ich das nächste mal was an den Zähnen brauche muss ich nur syrisch lernen und mein Pass nicht vorzeigen oder?,0
soviel zur meinungsfreiheit,0
"Schlechte und maximal hetzende bericht erstattung. Noch weniger wie der journalist, haben die menschen im kopf die es glauben...",0
"Hat jemand von Euch (Familie 2 Kinder) noch 40.000,- EUR am Jahresende zur Verfügung?",0
Das ist gut für den Tourismus.,0
"So könnte auch manche Schule oder Kita aussehen, aber naja kein Geld da :-(",0
Kim Jong Merkel,0
Kommt bei uns auch noch wartets ab,0
was hat das mit hetze zu tun?? jeder der heute noch einen halbewegs gesunden menschenverstand hat weiß das sowieso.....,0
"Alles nur PROPAGANDA um die Bevölkerung für dumm zu verkaufen, denn keiner sagt das die Länder aus denen die Straftäter kommen diese garnicht zurück nehmen.!",0
Toll!?,0
ich hoffe das die Asylbeführworter mal Besuch von solchen Leuten kriegen.,0
"OmG, eure Kommentare gehen doch wohl garnicht und davon mal abgesehen, finde ich diese WCs wesentlich hygienischer , als die bisherigen, da diese auch schon vor der Asylbewerberwelle, von unseren Landsleuten mitunter besch...... wurden.",0
Woher nehmen die nur das Geld????,0
Bla bla bla bla,0
Das ist der Hammer ! Wie doof ist Deutschland eigendlich ?,0
Paranoia lässt grüßen,0
Wenn es nur noch studierte gibt wer soll den da noch arbeiten,0
Wenn sie diese Seite zensieren Dan macht ne neue Seite und wen die gesperrt wird wieder ne neue Seite und so weiter und so weiter. Weil jetzt den Kopf hängen zulassen und die als Gewinner zusehen ist der ihr Ziel aber doch nicht unseres. DEN WIR SIND DIE PATRIOTEN,0
Muss man sich halt benehmen,0
raus mit dem Pack,0
"""Seit dem """"an die Wand stellen und erschiessen"""" sind in Deutschland nun etwa 60 Jahre her.""",0
die haben bestimmt als 'willkommensgeschenk' gleich einen jahreswagen ihrer wahl gekriegt......,0
"dafür muß erstmal gewährleistet werden, dass die jeweiligen Staaten ihre zurückgeschickten Bürger wieder zurücknehmen",0
"Die Merkel macht so lange weiter,bis Deutschland kaputt ist.",0
Für solche Wichser Täterschutz? Lachhaft!,1
"""Na, wann kommt der Kommentar,"""" Deutsche machen das auch"""" ?! Fehlt noch. :(""",0
Die Frau leidet an Realitätsverlust ?.....,0
