label,text
1,Die werden alle noch ihr blaues Wunder erleben...ein Sturm wird über Deutschland wehen...
0,Profi? Naja.
0,Die Oberen 10% entziehen der Gesellschaft in der gleichen Zeit fast 300 Milliarden! Aber die Flüchtlinge sind ja ein Problem
1,"Selbst wenn die ersten Toten der politischen Mitte auf der Straße liegen werden die Presseleute der Lügenpresse schweigen ! Politischer Auftrag, schätze ich. Merkle, Maas, Gabriel etc. gehen für ihre Politikerdiäten und -pensionen auch über Leichen, oder glaubt jemand, dass die plötzlich Skrupel bekommen. Die wollen den absoluten Sozialismus, wie Pol Pot, Mao, Stalin etc. und es wird ähnlich verlaufen. Was sollen sie denn machen ? Es wird auch nicht ohne Umerziehungslager gehen, die müssen im Sozialismus sein, ist Grundlage der Ideologie."
1,"Genau,denn eure Zeit wird kommen !!!"
0,ich glaube eher das sie so erschrocken sind wie sie von den 12 % für AfD gehört haben das sie da alles vergessen haben was im GG steht :-D
1,Die sollen das verpiss dich Klo erfinden!!!?
0,Wird genau so manipuliert wie die Wahlen. Aber die Antwort wird kommen!
0,Genauso träume ich fast jede Nacht ? Meine aller größten Ängste werden wahr
0,sollen da am tisch gleich anfangen
1,Was ein Ar....
0,es gibt doch auch ausländer die mit der IS nichts zu tun haben!
0,"Ick sage nur wählt die AfD...es gibt keine Partei da draußen die man Vertrauen kann!!! Aber lasst es der AfD spüren, das wir als Volk auf Sie zählen damit es uns wieder besser geht...sie ist zur Zeit die einzigste Partei die die Augen auf hat..und sie ist nicht rechts gedrillt. ....Merkel und Co. brauch keiner von uns ......"
1,Raus aus deutschland mit diesen Dreckfressen
0,Es wird noch erbärmlicher gehen.
0,"""Alles Fachkräfte die wir so """"dringend"""" brauchen Frau Merkel und das andere Gesocks"""
0,"Nicht vergessen, Auch ZDDK / Mimikama ebenso :-)"
1,"Was wollen wir uns noch Gefallen lassen,es ist genug,es reicht,wen reden nichts bringt muß es eben anders gehen...ich will keine Asylanten mehr und schwarze kriminelle schon garnicht raus aus Deutschland mit den Pack..."
0,"Das war so klar, das hat schon gestunken da hab ich es im radio gehört ..."
0,ja und in drei jahren stellt im ein sogenannter psychologe eine freifahrtschein und er kann wieder durch drehen. sowas wegsperren und zubetonieren
0,"Die 600000 Abgelehnten erstmal rausschmeissen, dann hat sich das Anmieten von Hotels erledigt!"
0,Stehen wohl Wahlen an? ???
0,Kostet ja nix
0,Toll!?
0,Stasi 2.0 mehr kann man nicht dazu sagen!!!!!!!!!!!!!!!!
0,0487530cd0db9917 Nicht nur Die ANTIFA Lappen scheissen sich ein wenns rund geht ...
0,Danke Frau Merkel und Co!
1,"Das sollen die hier mal versuchen,da wird zum sammeln geblasen,dann gibt es richtig auf die fresse !!"
0,Der Typ mit dem knicker ?
0,Wer drückt da denn aufem Like Button?!?!  Hirn verloren ?!
0,"Jo, Selbstkritik ist ein Luxus....."
0,Vor 100 Jahren hatten wir Frauen auch oft nix zu lachen. Wir wurden von Männern belächelt. Egal wie geistreich wir waren. Wir sollten heiraten und Kinder kriegen.Der Ehemann hatte das sagen.Genau wie es heute noch in vielen muslimischen Gegenden ist.
1,"So viel Dummheit und Menschenverachtung in einem Satz! Man sieht aber, das es genügend Pflaumen in Deutschland gibt, die so jemandem folgen! Baut Mauer, Zäune, fängt flüchtende ein, schiebt Sie sofort wieder ab... Alles Dinge, die nicht unbedingt meiner Position entsprechen, die aber durchaus vertretbar sind. Aber Schusswaffengebrauch, geht's noch? Vermint doch gleich die Grenze wieder!!! Wo wir gerade dabei sind könnten wir doch wieder Arbeitslager für illegale errichten... Alles Dinge, die wir in Deutschland zum Glück hinter uns haben. Ich setze aber darauf, dass sich der Großteil der Deutschen nicht von euch, dem intelligentz- und wertebefreiten, asozialen Dumpfbackenmob einfangen lässt. Wobei, auch das hatten wir leider schon!"
0,Und Tschüss.......
0,"""angela merkel """"wird"""" nicht -. sie """"ist"""" eine gefahr für deutschland......"""
0,"Wer die Wahrheit sagt, wird angeklagt"
0,kommt endlich zu VK!
0,Volksentscheid für ein gesundheitliches Attest der BK.
0,Volksverdummung ersten Grades !
